id,firstName,lastName,email,emailVerified,password,userSchoolId
user1,Alice,Smith,alice@example.com,,,1001
user10,Jack,Lopez,jack@example.com,,,1010
user11,Karen,Gonzalez,karen@example.com,,,1011
user12,Leo,Wilson,leo@example.com,,,1012
user13,Mia,Anderson,mia@example.com,,,1013
user14,Nate,Thomas,nate@example.com,,,1014
user15,Olivia,Taylor,olivia@example.com,,,1015
user16,Paul,Moore,paul@example.com,,,1016
user17,Quinn,Jackson,quinn@example.com,,,1017
user18,Rachel,White,rachel@example.com,,,1018
user19,Sam,Harris,sam@example.com,,,1019
user2,Bob,Johnson,bob@example.com,,,1002
user20,Tina,Martin,tina@example.com,,,1020
user3,Carol,Williams,carol@example.com,,,1003
user4,David,Brown,david@example.com,,,1004
user5,Eve,Jones,eve@example.com,,,1005
user6,Frank,Garcia,frank@example.com,,,1006
user7,Grace,Miller,grace@example.com,,,1007
user8,Hank,Davis,hank@example.com,,,1008
user9,Ivy,Martinez,ivy@example.com,,,1009
